Date,Category,Value
2016-09-28,Rest of S&P 500,15122.809810083738
2016-09-29,Magnificent 7,1798.395969795518
2016-09-29,Rest of S&P 500,14980.41711614198
2016-09-30,Magnificent 7,1809.2950244527908
2016-09-30,Rest of S&P 500,15103.21112789096
2016-10-03,Magnificent 7,1808.1203886772792
2016-10-03,Rest of S&P 500,15049.239230463347
2016-10-04,Magnificent 7,1805.946115181542
2016-10-04,Rest of S&P 500,14967.875808646582
2016-10-05,Magnificent 7,1813.753059098032
2016-10-05,Rest of S&P 500,15032.14078855822
2016-10-06,Magnificent 7,1814.7531933680114
2016-10-06,Rest of S&P 500,15039.25295897574
2016-10-07,Magnificent 7,1813.1259964068572
2016-10-07,Rest of S&P 500,14986.045927421268
2016-10-10,Magnificent 7,1830.3874590340051
2016-10-10,Rest of S&P 500,15046.159855419119
2016-10-11,Magnificent 7,1814.823651692901
2016-10-11,Rest of S&P 500,14851.670195963348
2016-10-12,Magnificent 7,1820.9634388408265
2016-10-12,Rest of S&P 500,14864.640027956048
2016-10-13,Magnificent 7,1810.0994662214166
2016-10-13,Rest of S&P 500,14823.790914637959
2016-10-14,Magnificent 7,1812.0801167518248
2016-10-14,Rest of S&P 500,14825.163730904424
2016-10-17,Magnificent 7,1804.2489656724215
2016-10-17,Rest of S&P 500,14782.45103432758
2016-10-18,Magnificent 7,1817.611785322498
2016-10-18,Rest of S&P 500,14871.26897639625
2016-10-19,Magnificent 7,1821.3680412092149
2016-10-19,Rest of S&P 500,14904.094263478284
2016-10-20,Magnificent 7,1813.3866821530132
2016-10-20,Rest of S&P 500,14889.066003393862
2016-10-21,Magnificent 7,1837.7571128708576
2016-10-21,Rest of S&P 500,14863.290201582267
2016-10-24,Magnificent 7,1868.9038787743966
2016-10-24,Rest of S&P 500,14911.470730600602
2016-10-25,Magnificent 7,1865.695160864364
2016-10-25,Rest of S&P 500,14850.952153588758
2016-10-26,Magnificent 7,1843.1436194026824
2016-10-26,Rest of S&P 500,14844.409847394192
2016-10-27,Magnificent 7,1828.8151193713527
2016-10-27,Rest of S&P 500,14808.897185316146
2016-10-28,Magnificent 7,1805.3759127321903
2016-10-28,Rest of S&P 500,14780.621401720935
2016-10-31,Magnificent 7,1808.735631304042
2016-10-31,Rest of S&P 500,14775.233606977208
2016-11-01,Magnificent 7,1791.3333750548861
2016-11-01,Rest of S&P 500,14680.082396429489
2016-11-02,Magnificent 7,1767.845133735348
2016-11-02,Rest of S&P 500,14596.086409233401
2016-11-03,Magnificent 7,1745.1860100310378
2016-11-03,Rest of S&P 500,14546.361304422087
2016-11-04,Magnificent 7,1733.8615982754934
2016-11-04,Rest of S&P 500,14530.541868521383
2016-11-07,Magnificent 7,1778.4131116826902
2016-11-07,Rest of S&P 500,14847.443040661059
2016-11-08,Magnificent 7,1790.1394754718185
2016-11-08,Rest of S&P 500,14898.42898155943
2016-11-09,Magnificent 7,1773.1548159891952
2016-11-09,Rest of S&P 500,15100.273260182677
2016-11-10,Magnificent 7,1722.2856095603393
2016-11-10,Rest of S&P 500,15184.05823809591
2016-11-11,Magnificent 7,1731.2543079945924
2016-11-11,Rest of S&P 500,15151.455311146032
2016-11-14,Magnificent 7,1687.3090229003617
2016-11-14,Rest of S&P 500,15193.450596240262
2016-11-15,Magnificent 7,1725.584620855147
2016-11-15,Rest of S&P 500,15281.456541254227
2016-11-16,Magnificent 7,1745.1637333331887
2016-11-16,Rest of S&P 500,15234.96780963556
2016-11-17,Magnificent 7,1763.3710112611518
2016-11-17,Rest of S&P 500,15296.16590280135
2016-11-18,Magnificent 7,1758.9784399420264
2016-11-18,Rest of S&P 500,15259.840798339223
2016-11-21,Magnificent 7,1791.1756397082718
2016-11-21,Rest of S&P 500,15354.627827088603
2016-11-22,Magnificent 7,1797.2845530809636
2016-11-22,Rest of S&P 500,15385.646989887784
2016-11-23,Magnificent 7,1785.3592910823568
2016-11-23,Rest of S&P 500,15411.456480402016
2016-11-25,Magnificent 7,1788.5210060067245
2016-11-25,Rest of S&P 500,15475.609755712025
2016-11-28,Magnificent 7,1782.561168011054
2016-11-28,Rest of S&P 500,15390.85460347332
2016-11-29,Magnificent 7,1783.2075866945925
2016-11-29,Rest of S&P 500,15413.139727758531
2016-11-30,Magnificent 7,1758.1820012140176
2016-11-30,Rest of S&P 500,15392.536455817231
2016-12-01,Magnificent 7,1728.967552823539
2016-12-01,Rest of S&P 500,15361.457056551462
2016-12-02,Magnificent 7,1730.009812467512
2016-12-02,Rest of S&P 500,15367.199806673112
2016-12-05,Magnificent 7,1755.575938048573
2016-12-05,Rest of S&P 500,15441.161757263926
2016-12-06,Magnificent 7,1759.3405131611114
2016-12-06,Rest of S&P 500,15496.05333449514
2016-12-07,Magnificent 7,1783.9870036341304
2016-12-07,Rest of S&P 500,15698.54375808462
2016-12-08,Magnificent 7,1785.6451277800566
2016-12-08,Rest of S&P 500,15734.636415188694
2016-12-09,Magnificent 7,1803.7816590000914
2016-12-09,Rest of S&P 500,15820.552569515534
2016-12-12,Magnificent 7,1792.478785261222
2016-12-12,Rest of S&P 500,15811.808910051275
2016-12-13,Magnificent 7,1821.7939635286255
2016-12-13,Rest of S&P 500,15897.62180795575
2016-12-14,Magnificent 7,1820.6382018768406
2016-12-14,Rest of S&P 500,15754.946026638785
2016-12-15,Magnificent 7,1819.1739591877881
2016-12-15,Rest of S&P 500,15824.660269327836
2016-12-16,Magnificent 7,1814.9988118727426
2016-12-16,Rest of S&P 500,15797.947721330382
2016-12-19,Magnificent 7,1830.6941278099014
2016-12-19,Rest of S&P 500,15817.04010070572
2016-12-20,Magnificent 7,1837.9231277084994
2016-12-20,Rest of S&P 500,15874.004948463373
2016-12-21,Magnificent 7,1837.144807196296
2016-12-21,Rest of S&P 500,15831.258659600579
2016-12-22,Magnificent 7,1828.9668551460275
2016-12-22,Rest of S&P 500,15806.520840166471
2016-12-23,Magnificent 7,1826.4619432075724
2016-12-23,Rest of S&P 500,15831.100361479928
2016-12-27,Magnificent 7,1843.1306592755725
2016-12-27,Rest of S&P 500,15854.132426661927
2016-12-28,Magnificent 7,1831.1869308110545
2016-12-28,Rest of S&P 500,15718.188459813944
2016-12-29,Magnificent 7,1825.21300211652
2016-12-29,Rest of S&P 500,15719.015074055356
2016-12-30,Magnificent 7,1800.010565998626
2016-12-30,Rest of S&P 500,15662.864043376372
2017-01-03,Magnificent 7,1812.4212152219693
2017-01-03,Rest of S&P 500,15798.653394153029
2017-01-04,Magnificent 7,1819.5161231316338
2017-01-04,Rest of S&P 500,15892.333876868364
2017-01-05,Magnificent 7,1838.126645670213
2017-01-05,Rest of S&P 500,15860.073354329788
2017-01-06,Magnificent 7,1865.2389013147795
2017-01-06,Rest of S&P 500,15895.20494634147
2017-01-09,Magnificent 7,1874.8765963545459
2017-01-09,Rest of S&P 500,15822.542641926704
2017-01-10,Magnificent 7,1872.2804117363426
2017-01-10,Rest of S&P 500,15825.138826544908
2017-01-11,Magnificent 7,1884.0023961380934
2017-01-11,Rest of S&P 500,15863.49413706503
2017-01-12,Magnificent 7,1886.2270550528542
