Date,Value,Ticker,Type
2018-05-21,399.3369801262471,META,Mag 7
2018-05-22,397.8434696964468,META,Mag 7
2018-05-23,404.5534994777904,META,Mag 7
2018-05-24,402.4539379219104,META,Mag 7
2018-05-25,400.2677074327181,META,Mag 7
2018-05-29,402.0426925040656,META,Mag 7
2018-05-30,406.2202480783564,META,Mag 7
2018-05-31,415.1165415808452,META,Mag 7
2018-06-01,419.9001815131686,META,Mag 7
2018-06-04,418.36333661671205,META,Mag 7
2018-06-05,417.62738178652296,META,Mag 7
2018-06-06,414.1641138090932,META,Mag 7
2018-06-07,407.3241470916871,META,Mag 7
2018-06-08,409.3155718726445,META,Mag 7
2018-06-11,414.59709292417193,META,Mag 7
2018-06-12,416.45851430516103,META,Mag 7
2018-06-13,416.48018153848903,META,Mag 7
2018-06-14,426.0041601684326,META,Mag 7
2018-06-15,423.92623261392765,META,Mag 7
2018-06-18,429.2509884362524,META,Mag 7
2018-06-19,427.4761030607638,META,Mag 7
2018-06-20,437.2381886336453,META,Mag 7
2018-06-21,436.1559236216897,META,Mag 7
2018-06-22,436.6754055103159,META,Mag 7
2018-06-25,425.00853085783626,META,Mag 7
2018-06-26,430.7445653299587,META,Mag 7
2018-06-27,423.9045986125526,META,Mag 7
2018-06-28,424.7487899135231,META,Mag 7
2018-06-29,420.61450234198253,META,Mag 7
2018-07-02,427.1946616511696,META,Mag 7
2018-07-03,417.1729015978809,META,Mag 7
2018-07-05,429.55406384722164,META,Mag 7
2018-07-06,439.9005665448076,META,Mag 7
2018-07-09,443.1690620459555,META,Mag 7
2018-07-10,440.57158613891846,META,Mag 7
2018-07-11,438.4070228830543,META,Mag 7
2018-07-12,447.8877002782947,META,Mag 7
2018-07-13,448.75355881259327,META,Mag 7
2018-07-16,448.55875310435846,META,Mag 7
2018-07-17,454.5328612874659,META,Mag 7
2018-07-18,453.16928779372796,META,Mag 7
2018-07-19,450.42027418120637,META,Mag 7
2018-07-20,454.4246580486374,META,Mag 7
2018-07-23,456.5243525323292,META,Mag 7
2018-07-24,464.66295750739494,META,Mag 7
2018-07-25,470.78866985989293,META,Mag 7
2018-07-26,381.52275911989443,META,Mag 7
2018-07-27,378.5573390297158,META,Mag 7
2018-07-30,370.2671298852595,META,Mag 7
2018-07-31,373.55722615582954,META,Mag 7
2018-08-01,371.54420060544993,META,Mag 7
2018-08-02,381.7608992947854,META,Mag 7
