quote_date,description,item_id,price,item_name
1998-05-01,EGGS-LARGE-PER DOZ OR 2 X 6,211603,1.4465468,Eggs
1998-05-01,FRESH VEG-MUSHROOMS-PER KG,212520,3.0117877,Mushrooms
1998-05-01,FRESH VEG-TOMATOES-PER KG,212515,1.3730673,Tomatoes
1998-05-01,LARGE LOAF-WHITE-UNSLICED-800G,210102,0.7263414,Bread
1998-05-01,SAUSAGES-PORK-PER KG,211014,3.1244152,Sausages
1998-06-01,BACON-BACK-PER KG,210808,5.4157143,Bacon
1998-06-01,EGGS-LARGE-PER DOZ OR 2 X 6,211603,1.4740425,Eggs
1998-06-01,FRESH VEG-MUSHROOMS-PER KG,212520,3.0389447,Mushrooms
1998-06-01,FRESH VEG-TOMATOES-PER KG,212515,1.1142948,Tomatoes
1998-06-01,LARGE LOAF-WHITE-UNSLICED-800G,210102,0.7383064,Bread
1998-06-01,SAUSAGES-PORK-PER KG,211014,3.1042447,Sausages
1998-07-01,BACON-BACK-PER KG,210808,5.5,Bacon
1998-07-01,EGGS-LARGE-PER DOZ OR 2 X 6,211603,1.5840137,Eggs
1998-07-01,FRESH VEG-MUSHROOMS-PER KG,212520,3.0372128,Mushrooms
1998-07-01,FRESH VEG-TOMATOES-PER KG,212515,1.107897,Tomatoes
1998-07-01,LARGE LOAF-WHITE-UNSLICED-800G,210102,0.73376,Bread
1998-07-01,SAUSAGES-PORK-PER KG,211014,3.1089094,Sausages
1998-08-01,BACON-BACK-PER KG,210808,5.526619,Bacon
1998-08-01,EGGS-LARGE-PER DOZ OR 2 X 6,211603,1.5033333,Eggs
1998-08-01,FRESH VEG-MUSHROOMS-PER KG,212520,3.102037,Mushrooms
1998-08-01,FRESH VEG-TOMATOES-PER KG,212515,1.1512179,Tomatoes
1998-08-01,LARGE LOAF-WHITE-UNSLICED-800G,210102,0.73398376,Bread
1998-08-01,SAUSAGES-PORK-PER KG,211014,3.1241174,Sausages
1998-09-01,BACON-BACK-PER KG,210808,5.611154,Bacon
1998-09-01,EGGS-LARGE-PER DOZ OR 2 X 6,211603,1.577931,Eggs
1998-09-01,FRESH VEG-MUSHROOMS-PER KG,212520,3.090822,Mushrooms
1998-09-01,FRESH VEG-TOMATOES-PER KG,212515,1.0431962,Tomatoes
1998-09-01,LARGE LOAF-WHITE-UNSLICED-800G,210102,0.73366666,Bread
1998-09-01,SAUSAGES-PORK-PER KG,211014,3.1049066,Sausages
1998-10-01,BACON-BACK-PER KG,210808,5.6290345,Bacon
1998-10-01,EGGS-LARGE-PER DOZ OR 2 X 6,211603,1.5808164,Eggs
1998-10-01,FRESH VEG-MUSHROOMS-PER KG,212520,3.01641,Mushrooms
1998-10-01,FRESH VEG-TOMATOES-PER KG,212515,1.4239296,Tomatoes
1998-10-01,LARGE LOAF-WHITE-UNSLICED-800G,210102,0.73879033,Bread
1998-10-01,SAUSAGES-PORK-PER KG,211014,3.1076825,Sausages
1998-11-01,BACON-BACK-PER KG,210808,5.415489,Bacon
